role,module,parent_menu,child_menu,screen,route,permission,workdo_backend,workdo_ui,hiddenleaf_backend,hiddenleaf_ui,workdo_behavior,hiddenleaf_behavior,status,notes
company,core,Root,Dashboard,Dashboard,dashboard,manage-dashboard,YES,YES,YES,YES,Nested expandable menu item,Rendered in sidebar,EXACT,Audited against WorkDo reference
company,taskly,dashboard,Project Dashboard,Project Dashboard,project.dashboard.index,manage-project-dashboard,YES,YES,YES,YES,Nested expandable menu item,Rendered in sidebar,EXACT,Audited against WorkDo reference
company,hrm,dashboard,HRM Dashboard,HRM Dashboard,hrm.index,manage-hrm-dashboard,YES,YES,YES,YES,Nested expandable menu item,Rendered in sidebar,EXACT,Audited against WorkDo reference
company,pos,dashboard,POS Dashboard,POS Dashboard,pos.index,manage-pos-dashboard,YES,YES,YES,YES,Nested expandable menu item,Rendered in sidebar,EXACT,Audited against WorkDo reference
company,lead,dashboard,CRM Dashboard,CRM Dashboard,lead.index,manage-crm-dashboard,YES,YES,YES,YES,Nested expandable menu item,Rendered in sidebar,EXACT,Audited against WorkDo reference
company,account,dashboard,Accounting Dashboard,Accounting Dashboard,account.index,manage-account-dashboard,YES,YES,YES,YES,Nested expandable menu item,Rendered in sidebar,EXACT,Audited against WorkDo reference
company,core,Root,User Management,User Management,N/A,manage-users,YES,YES,YES,NO,Nested expandable menu item,Rendered in sidebar,MISSING_NAVIGATION,Audited against WorkDo reference
company,core,User Management,Roles,Roles,roles.index,manage-roles,YES,YES,YES,YES,Nested expandable menu item,Rendered in sidebar,EXACT,Audited against WorkDo reference
company,core,User Management,Users,Users,users.index,manage-users,YES,YES,YES,YES,Nested expandable menu item,Rendered in sidebar,EXACT,Audited against WorkDo reference
company,sales,Root,Proposal,Proposal,sales-proposals.index,manage-sales-proposals,YES,YES,YES,YES,Nested expandable menu item,Rendered in sidebar,EXACT,Audited against WorkDo reference
company,sales,Root,Sales Invoice,Sales Invoice,N/A,manage-sales-invoices,YES,YES,YES,NO,Nested expandable menu item,Rendered in sidebar,MISSING_NAVIGATION,Audited against WorkDo reference
company,sales,Sales Invoice,Sales Invoice,Sales Invoice,sales-invoices.index,manage-sales-invoices,YES,YES,YES,YES,Nested expandable menu item,Rendered in sidebar,EXACT,Audited against WorkDo reference
company,sales,Sales Invoice,Sales Invoice Returns,Sales Invoice Returns,sales-returns.index,manage-sales-return-invoices,YES,YES,YES,YES,Nested expandable menu item,Rendered in sidebar,EXACT,Audited against WorkDo reference
company,procurement,Root,Purchase,Purchase,N/A,manage-purchase-invoices,YES,YES,YES,NO,Nested expandable menu item,Rendered in sidebar,MISSING_NAVIGATION,Audited against WorkDo reference
company,procurement,Purchase,Purchase Invoice,Purchase Invoice,purchase-invoices.index,manage-purchase-invoices,YES,YES,YES,YES,Nested expandable menu item,Rendered in sidebar,EXACT,Audited against WorkDo reference
company,procurement,Purchase,Purchase Returns,Purchase Returns,purchase-returns.index,manage-purchase-return-invoices,YES,YES,YES,YES,Nested expandable menu item,Rendered in sidebar,EXACT,Audited against WorkDo reference
company,procurement,Purchase,Warehouses,Warehouses,warehouses.index,manage-warehouses,YES,YES,YES,YES,Nested expandable menu item,Rendered in sidebar,EXACT,Audited against WorkDo reference
company,procurement,Purchase,Transfers,Transfers,transfers.index,manage-transfers,YES,YES,YES,YES,Nested expandable menu item,Rendered in sidebar,EXACT,Audited against WorkDo reference
company,account,Root,Accounting,Accounting,N/A,manage-account,YES,YES,YES,NO,Nested expandable menu item,Rendered in sidebar,MISSING_NAVIGATION,Audited against WorkDo reference
company,account,Accounting,Banking,Banking,N/A,manage-bank-accounts,YES,YES,YES,NO,Nested expandable menu item,Rendered in sidebar,MISSING_NAVIGATION,Audited against WorkDo reference
company,account,Banking,Bank Accounts,Bank Accounts,account.bank-accounts.index,manage-bank-accounts,YES,YES,YES,YES,Nested expandable menu item,Rendered in sidebar,EXACT,Audited against WorkDo reference
company,account,Banking,Bank Transactions,Bank Transactions,account.bank-transactions.index,manage-bank-transactions,YES,YES,YES,YES,Nested expandable menu item,Rendered in sidebar,EXACT,Audited against WorkDo reference
company,account,Banking,Bank Transfers,Bank Transfers,account.bank-transfers.index,manage-bank-transfers,YES,YES,YES,YES,Nested expandable menu item,Rendered in sidebar,EXACT,Audited against WorkDo reference
company,account,Accounting,Chart Of Accounts,Chart Of Accounts,account.chart-of-accounts.index,manage-chart-of-accounts,YES,YES,YES,YES,Nested expandable menu item,Rendered in sidebar,EXACT,Audited against WorkDo reference
company,account,Accounting,Vendor Payments,Vendor Payments,account.vendor-payments.index,manage-vendor-payments,YES,YES,YES,YES,Nested expandable menu item,Rendered in sidebar,EXACT,Audited against WorkDo reference
company,account,Accounting,Customer Payments,Customer Payments,account.customer-payments.index,manage-customer-payments,YES,YES,YES,YES,Nested expandable menu item,Rendered in sidebar,EXACT,Audited against WorkDo reference
company,account,Accounting,Revenue,Revenue,account.revenues.index,manage-revenues,YES,YES,YES,YES,Nested expandable menu item,Rendered in sidebar,EXACT,Audited against WorkDo reference
company,account,Accounting,Expense,Expense,account.expenses.index,manage-expenses,YES,YES,YES,YES,Nested expandable menu item,Rendered in sidebar,EXACT,Audited against WorkDo reference
company,account,Accounting,Debit Notes,Debit Notes,account.debit-notes.index,manage-debit-notes,YES,YES,YES,YES,Nested expandable menu item,Rendered in sidebar,EXACT,Audited against WorkDo reference
company,account,Accounting,Credit Notes,Credit Notes,account.credit-notes.index,manage-credit-notes,YES,YES,YES,YES,Nested expandable menu item,Rendered in sidebar,EXACT,Audited against WorkDo reference
